patient,sample,lane,fastq_1,fastq_2
NC,NC1,1,./raw_data/NC1/NC1_CSFP220030720-1a_HY2LLDSX3_L2_1.fq.gz,./raw_data/NC1/NC1_CSFP220030720-1a_HY2LLDSX3_L2_2.fq.gz
NC,NC2,1,./raw_data/NC2/NC2_CSFP220030721-1a_HY2LLDSX3_L2_1.fq.gz,./raw_data/NC2/NC2_CSFP220030721-1a_HY2LLDSX3_L2_2.fq.gz
NC,NC3,1,./raw_data/NC3/NC3_CSFP220030722-1a_HY2LLDSX3_L2_1.fq.gz,./raw_data/NC3/NC3_CSFP220030722-1a_HY2LLDSX3_L2_2.fq.gz
NC,NC4,1,./raw_data/NC4/NC4_CSFP220030723-1a_HY2LLDSX3_L3_1.fq.gz,./raw_data/NC4/NC4_CSFP220030723-1a_HY2LLDSX3_L3_2.fq.gz
NC,NC5,1,./raw_data/NC5/NC5_CSFP220030724-1a_HY35LDSX3_L2_1.fq.gz,./raw_data/NC5/NC5_CSFP220030724-1a_HY35LDSX3_L2_2.fq.gz
NC,NC6,1,./raw_data/NC6/NC6_CSFP220030725-1a_HY2LLDSX3_L3_1.fq.gz,./raw_data/NC6/NC6_CSFP220030725-1a_HY2LLDSX3_L3_2.fq.gz
NC,NC7,1,./raw_data/NC7/NC7_CSFP220030726-1a_HY2LLDSX3_L3_1.fq.gz,./raw_data/NC7/NC7_CSFP220030726-1a_HY2LLDSX3_L3_2.fq.gz
NC,NC8,1,./raw_data/NC8/NC8_CSFP220030727-1a_HY2LLDSX3_L3_1.fq.gz,./raw_data/NC8/NC8_CSFP220030727-1a_HY2LLDSX3_L3_2.fq.gz
OC,OC1,1,./raw_data/OC1/OC1_CSFP220030728-1a_HY2LLDSX3_L3_1.fq.gz,./raw_data/OC1/OC1_CSFP220030728-1a_HY2LLDSX3_L3_2.fq.gz
RC,RC1,1,./raw_data/RC1/RC1_CSFP220030729-1a_HY2LLDSX3_L3_1.fq.gz,./raw_data/RC1/RC1_CSFP220030729-1a_HY2LLDSX3_L3_2.fq.gz
RC,RC10,1,./raw_data/RC10/RC10_CSFP220030738-1a_HY2LLDSX3_L4_1.fq.gz,./raw_data/RC10/RC10_CSFP220030738-1a_HY2LLDSX3_L4_2.fq.gz
RC,RC11,1,./raw_data/RC11/RC11_CSFP220030739-1a_HY2LLDSX3_L4_1.fq.gz,./raw_data/RC11/RC11_CSFP220030739-1a_HY2LLDSX3_L4_2.fq.gz
RC,RC12,1,./raw_data/RC12/RC12_CSFP220030740-1a_HY2LLDSX3_L4_1.fq.gz,./raw_data/RC12/RC12_CSFP220030740-1a_HY2LLDSX3_L4_2.fq.gz
RC,RC13,1,./raw_data/RC13/RC13_CSFP220030741-1a_HY2LLDSX3_L4_1.fq.gz,./raw_data/RC13/RC13_CSFP220030741-1a_HY2LLDSX3_L4_2.fq.gz
RC,RC14,1,./raw_data/RC14/RC14_CSFP220030742-1a_HY35LDSX3_L2_1.fq.gz,./raw_data/RC14/RC14_CSFP220030742-1a_HY35LDSX3_L2_2.fq.gz
RC,RC15,1,./raw_data/RC15/RC15_CSFP220030743-1a_HY35LDSX3_L3_1.fq.gz,./raw_data/RC15/RC15_CSFP220030743-1a_HY35LDSX3_L3_2.fq.gz
RC,RC16,1,./raw_data/RC16/RC16_CSFP220030744-1a_HY35LDSX3_L2_1.fq.gz,./raw_data/RC16/RC16_CSFP220030744-1a_HY35LDSX3_L2_2.fq.gz
RC,RC2,1,./raw_data/RC2/RC2_CSFP220030730-1a_HY2LLDSX3_L3_1.fq.gz,./raw_data/RC2/RC2_CSFP220030730-1a_HY2LLDSX3_L3_2.fq.gz
RC,RC3,1,./raw_data/RC3/RC3_CSFP220030731-1a_HY2LLDSX3_L3_1.fq.gz,./raw_data/RC3/RC3_CSFP220030731-1a_HY2LLDSX3_L3_2.fq.gz
RC,RC4,1,./raw_data/RC4/RC4_CSFP220030732-1a_HY2LLDSX3_L3_1.fq.gz,./raw_data/RC4/RC4_CSFP220030732-1a_HY2LLDSX3_L3_2.fq.gz
RC,RC5,1,./raw_data/RC5/RC5_CSFP220030733-1a_HY2LLDSX3_L4_1.fq.gz,./raw_data/RC5/RC5_CSFP220030733-1a_HY2LLDSX3_L4_2.fq.gz
RC,RC6,1,./raw_data/RC6/RC6_CSFP220030734-1a_HY2LLDSX3_L4_1.fq.gz,./raw_data/RC6/RC6_CSFP220030734-1a_HY2LLDSX3_L4_2.fq.gz
RC,RC7,1,./raw_data/RC7/RC7_CSFP220030735-1a_HY2LLDSX3_L4_1.fq.gz,./raw_data/RC7/RC7_CSFP220030735-1a_HY2LLDSX3_L4_2.fq.gz
RC,RC8,1,./raw_data/RC8/RC8_CSFP220030736-1a_HY2LLDSX3_L4_1.fq.gz,./raw_data/RC8/RC8_CSFP220030736-1a_HY2LLDSX3_L4_2.fq.gz
RC,RC9,1,./raw_data/RC9/RC9_CSFP220030737-1a_HY2LLDSX3_L4_1.fq.gz,./raw_data/RC9/RC9_CSFP220030737-1a_HY2LLDSX3_L4_2.fq.gz
